地段,區域,經度,緯度,狀態,監視器種類
中華路-育樂街,桃園市 中壢區,121.24,24.96,良好,非夜間
中園路-吉林路,桃園市 中壢區,121.24,24.98,待維修,夜間
環中東路-中山東路,桃園市 中壢區,121.24,24.95,良好,非夜間
環北路-延平路(延平路),桃園市 中壢區,121.23,24.96,良好,非夜間
環北路-延平路(環北路),桃園市 中壢區,121.23,24.96,良好,非夜間
環北路-慈惠三街,桃園市 中壢區,121.23,24.97,良好,非夜間
環北路-新生路,桃園市 中壢區,121.22,24.97,良好,非夜間
環北路-中豐北路(環北路),桃園市 中壢區,121.22,24.97,良好,非夜間
環北路-中豐北路(中豐北路),桃園市 中壢區,121.22,24.97,待維修,非夜間
環西路-民權路,桃園市 中壢區,121.22,24.97,良好,非夜間
環西路-志廣路,桃園市 中壢區,121.21,24.96,良好,非夜間
中華路興仁路口(久丹努眼鏡行前號誌桿),桃園市 中壢區,121.26,24.97,良好,夜間
中華路中園路口(YKK與家具行出入口間號誌桿),桃園市 中壢區,121.24,24.96,良好,非夜間
中華路自強一路口(華麒工業前號誌桿),桃園市 中壢區,121.24,24.97,良好,非夜間
環中東路龍岡路口(三陽工業前號誌桿),桃園市 中壢區,121.23,24.94,待維修,非夜間
中山東路中北路口(85C咖啡對面中北路號誌桿),桃園市 中壢區,121.24,24.96,待維修,非夜間
環西路與民族路口(空地前號誌桿),桃園市 中壢區,121.21,24.96,待維修,夜間
南園二路與中福路口前,桃園市 中壢區,121.23,24.97,良好,非夜間
中華路二段與忠義路前分隔島(昇降桿),桃園市 中壢區,121.24,24.96,良好,非夜間
東園路吉林路口,桃園市 中壢區,121.24,24.98,良好,非夜間
環中東路永福路口,桃園市 中壢區,121.26,24.96,良好,非夜間
普忠路中華路口,桃園市 中壢區,121.24,24.97,良好,非夜間
五青路-領航南路,桃園市 中壢區,121.23,25.02,良好,非夜間
中華路二段128號前中央分隔島,桃園市 中壢區,121.24,24.97,良好,非夜間
青埔路二段-高鐵北路一段,桃園市 中壢區,121.21,25.01,良好,非夜間
高鐵站前東路二段-領航南路三段,桃園市 中壢區,121.22,25.01,待維修,非夜間
青昇路與高鐵北路二段,桃園市 中壢區,121.22,25.02,待維修,非夜間
中山南路二段與領航北路三段,桃園市 中壢區,121.21,25.02,良好,非夜間
中豐北路二段與高鐵南路二段、領航北路一段,桃園市 中壢區,121.20,25.00,良好,非夜間
內壢交流道往大園方向,桃園市 中壢區,121.24,24.99,良好,非夜間
高鐵南路三段與中正路三段,桃園市 中壢區,121.19,24.99,良好,非夜間
環中東路-普忠路,桃園市 中壢區,121.25,24.96,待維修,非夜間
