No,Address,DeptNm,BranchNm,Contact,ContactNumber
編號,地點位置,管轄警察局,分局,聯繫窗口,聯繫電話
1,捷運中山站,臺北市政府警察局,大同分局,葉警員,(02)2553-4657
2,峨嵋街、漢中街口(捷運西門站6號出口),臺北市政府警察局,萬華分局,羅警員,(02)2375-3990
3,西園路、和平西路口(捷運龍山寺站1號出口),臺北市政府警察局,萬華分局,羅警員,(02)2375-3990
4,捷運中山國小站,臺北市政府警察局,中山分局,顏警員,(02)2551-5495
5,捷運松江南京站,臺北市政府警察局,中山分局,顏警員,(02)2551-5495
6,捷運忠孝復興站,臺北市政府警察局,大安分局,林警員                 ,(02)2325-5960
7,捷運臺北車站,臺北市政府警察局,中正第一分局,曹警員         ,(02)2311-7130
8,二二八和平公園,臺北市政府警察局,中正第一分局,曹警員         ,(02)2311-7130
9,捷運古亭站,臺北市政府警察局,中正第二分局,朱警員,(02)2375-1617
10,新東街9巷,臺北市政府警察局,松山分局,黃警員,(02)2579-6395
11,松廉路段(松仁路至松智路區塊內之廊道及空橋),臺北市政府警察局,信義分局,王警員,(02)2723-4989
12,松壽路段(松智路至松仁路),臺北市政府警察局,信義分局,王警員,(02)2723-4989
13,捷運劍潭站,臺北市政府警察局,士林分局,陳警員,(02)2882-4284
14,捷運石牌站,臺北市政府警察局,北投分局,田警員,(02)2892-3334
15,指南路一段道南橋下涵洞附近,臺北市政府警察局,文山第一分局,劉警員,(02)2939-2324
16,捷運萬芳醫院站,臺北市政府警察局,文山第二分局,鄒警員,(02)2934-6993
17,捷運南港展覽館站,臺北市政府警察局,南港分局,黃警員,(02)2782-5093
18,麥帥二橋下河濱公園,臺北市政府警察局,內湖分局,黃警員,(02)2790-9718
19,成功路五段420巷,臺北市政府警察局,內湖分局,黃警員,(02)2790-9718
20,新北市三重區重新路,新北市政府警察局,三重分局,陳警員,(02)8981-8904
21,新北市三峽區大觀路,新北市政府警察局,三峽分局,王警員,(02)2671-0225
22,新北市土城區三民路,新北市政府警察局,土城分局,謝警員,(02)2265-6186
23,新北市中和區中正路,新北市政府警察局,中和分局,謝警員,(02)2249-9023
24,新北市石門區下員坑,新北市政府警察局,金山分局,吳警員,(02)2498-9010
25,新北市汐止區大同路,新北市政府警察局,汐止分局,陳警員,(02)2641-0709
26,新北市新莊區中平路,新北市政府警察局,新莊分局,李警員,(02)2994-8519
27,新北市新莊區新北大道二段,新北市政府警察局,新莊分局,李警員,(02)2994-8519
28,桃園市桃園區三民路二段一帶,桃園市政府警察局,桃園分局,洪家防官,(03)335-5334
29,桃園市桃園區中路北街一帶,桃園市政府警察局,桃園分局,洪家防官,(03)335-5334
30,桃園市中壢區文化二路一帶,桃園市政府警察局,中壢分局,李家防官,(03)422-4918
31,桃園市中壢區莒光路一帶,桃園市政府警察局,中壢分局,李家防官,(03)422-4918
32,桃園市中壢區中正路一帶,桃園市政府警察局,中壢分局,李家防官,(03)422-4918
33,桃園市八德區高城六街一帶,桃園市政府警察局,八德分局,黃家防官,(03)373-1913
34,北區一中街附近商圈,臺中市政府警察局,第二分局,張警員,(04)2235-1035
35,南屯區向學路與大觀路附近公園,臺中市政府警察局,第四分局,王警員,(04)2389-2013
36,北屯區新興路與同榮路口附近公園,臺中市政府警察局,第五分局,陳警員,(04)2242-0023
37,北屯區軍和街與東山路一段229巷口附近學校,臺中市政府警察局,第五分局,陳警員,(04)2242-0023
38,西屯區逢甲路與至善路口附近商圈及學生租屋區,臺中市政府警察局,第六分局,陳警員,(04)2251-3291
39,太平區中興東路與永平路一段口附近公園,臺中市政府警察局,太平分局,陳警員,(04)2393-8138
40,太平區祥順路一段附近公園,臺中市政府警察局,太平分局,陳警員,(04)2393-8138
41,臺南市歸仁區長榮路一段至長榮大學臺鐵沙崙支線高架橋下便道路段,臺南市政府警察局,歸仁分局,葉警務員,(06)239-4182
42,臺南市東區林森路一段224號至林森路一段316號沿線,臺南市政府警察局,第一分局,梁警員,(06)288-0413
43,臺南市中西區中山路西華南街口至中山路火車站圓環路段,臺南市政府警察局,第二分局,黃警員,(06)213-4477
44,臺南市安南區長和路2段2號至140巷口,臺南市政府警察局,第三分局,柯警員,(06)247-7072
45,臺南市北區成功路2號至12號,臺南市政府警察局,第五分局,王警員,(06)259-8550
46,南區體育場兒童遊戲區,臺南市政府警察局,第六分局,林警員,(06)261-1470
47,臺南市南區興中街63巷,臺南市政府警察局,第六分局,林警員,(06)261-1470
48,臺南市南區健康路一段133巷,臺南市政府警察局,第六分局,林警員,(06)261-1470
49,高雄市鼓山區凹子底公園,高雄市政府警察局,鼓山分局,張警員,(07)561-3700#135
50,高雄市鳳山區瑞中街、瑞智街週邊,高雄市政府警察局,鳳山分局,許警員,(07)747-6844
51,高雄市苓雅區中正一路技擊館旁行人天橋(國道1號西側),高雄市政府警察局,苓雅分局,鄭警員,(07)334-9885
52,高雄市前鎮區復興新巷40號前,高雄市政府警察局,前鎮分局,賴警員,(07)724-2549
53,高雄市大寮區民昌街80號前,高雄市政府警察局,林園分局,呂警員,(07)643-0790
54,基隆市仁愛區仁二路段,基隆市警察局,第一分局,林警員,(02)2428-4590
