date,breau,month,year,station,lon,_id,time,type,lat
24,龍潭分局,12,111,中興所,121.2355784,1,1111224,汽車竊盜,24.8743786
12,平鎮分局,12,111,龍岡所,121.2480107,2,1111212,汽車竊盜,24.9172388
30,龍潭分局,11,111,龍潭所,121.2182144,3,1111130,汽車竊盜,24.8750234
25,楊梅分局,11,111,草湳所,121.1644415,4,1111125,汽車竊盜,24.8993855
14,平鎮分局,11,111,平鎮所,121.2184232,5,1111114,汽車竊盜,24.9198231
31,楊梅分局,10,111,草湳所,121.1800933,6,1111031,汽車竊盜,24.919287
27,楊梅分局,10,111,楊梅所,121.1445706,7,1111027,汽車竊盜,24.9158391
13,龍潭分局,10,111,中興所,121.2280749,8,1111013,汽車竊盜,24.8851171
2,龍潭分局,10,111,龍潭所,121.2053963,9,1111002,汽車竊盜,24.8444927
2,龍潭分局,10,111,龍潭所,121.2204022,10,1111002,汽車竊盜,24.8540125
3,龍潭分局,9,111,石門所,121.2253553,11,1110903,汽車竊盜,24.8466031
2,龜山分局,8,111,大埔所,121.3918526,12,1110802,汽車竊盜,25.0470946
1,大溪分局,8,111,圳頂所,121.2899724,13,1110801,汽車竊盜,24.9131698
26,楊梅分局,6,111,新屋所,121.1094453,14,1110626,汽車竊盜,24.9844545
20,楊梅分局,4,111,上湖所,121.0746896,15,1110420,汽車竊盜,24.9290225
9,桃園分局,4,111,大樹所,121.3187988,16,1110409,汽車竊盜,24.9878055
9,桃園分局,4,111,大樹所,121.3194438,17,1110409,汽車竊盜,24.9876346
1,楊梅分局,4,111,富岡所,121.0668471,18,1110401,汽車竊盜,24.9269654
14,平鎮分局,3,111,宋屋所,121.2010351,19,1110314,汽車竊盜,24.9489166
8,龍潭分局,3,111,聖亭所,121.2063062,20,1110308,汽車竊盜,24.8721794
31,楊梅分局,1,111,頭洲所,121.1603079,21,1110131,汽車竊盜,24.9568202
15,龜山分局,12,110,龜山所,121.3507178,22,1101215,汽車竊盜,25.0037174
15,龜山分局,12,110,迴龍所,121.3980569,23,1101215,汽車竊盜,25.0184696
14,中壢分局,12,110,龍興所,121.2589108,24,1101214,汽車竊盜,24.9349264
11,楊梅分局,12,110,新屋所,121.1027754,25,1101211,汽車竊盜,24.968589
11,楊梅分局,12,110,埔頂所,121.16108,26,1101211,汽車竊盜,24.9564309
2,大園分局,12,110,草漯所,121.1234451,27,1101202,汽車竊盜,25.0547793
1,中壢分局,12,110,文化所,121.2491243,28,1101201,汽車竊盜,24.9577296
20,龍潭分局,11,110,聖亭所,121.211685,29,1101120,汽車竊盜,24.8824059
19,大園分局,11,110,三?所,121.2552723,30,1101119,汽車竊盜,25.0885718
9,中壢分局,11,110,普仁所,121.2362796,31,1101109,汽車竊盜,24.9632683
7,中壢分局,11,110,普仁所,121.2313882,32,1101107,汽車竊盜,24.9562725
3,桃園分局,11,110,青溪所,121.3109729,33,1101103,汽車竊盜,25.0130835
1,蘆竹分局,11,110,南崁所,121.2843851,34,1101101,汽車竊盜,25.0737121
31,中壢分局,10,110,興國所,121.2180987,35,1101031,汽車竊盜,24.9750027
