年,月,日,日期,受傷人數,市區鄉鎮,是否飲酒,時間,死亡人數,當事者順位,白天or夜晚,經度,緯度,縣市,道路類型
2022,01,01,2022-01-01,1,中壢區,否,22,0,1,夜晚,121.21478,25.011572,桃園市,交叉路口
2022,01,01,2022-01-01,1,中壢區,否,22,0,1,夜晚,121.21478,25.011572,桃園市,交叉路口
2022,01,01,2022-01-01,2,中壢區,否,722,0,1,夜晚,121.25194,24.977078,桃園市,交叉路口
2022,01,01,2022-01-01,1,中壢區,否,900,0,1,夜晚,121.235168,24.963989,桃園市,交叉路口
2022,01,01,2022-01-01,1,中壢區,否,5352,0,1,夜晚,121.209935,24.9601,桃園市,交叉路口
2022,01,01,2022-01-01,1,中壢區,否,10500,0,1,夜晚,121.230679,24.940918,桃園市,一般地址
2022,01,01,2022-01-01,1,中壢區,否,24200,0,1,夜晚,121.237153,24.954373,桃園市,交叉路口
2022,01,01,2022-01-01,1,中壢區,否,61552,0,1,白天,121.255442,24.989242,桃園市,一般地址
2022,01,01,2022-01-01,2,中壢區,否,62900,0,1,白天,121.231121,24.939051,桃園市,交叉路口
2022,01,01,2022-01-01,2,中壢區,否,80000,0,1,白天,121.249834,24.942619,桃園市,交叉路口
2022,01,01,2022-01-01,1,中壢區,否,84300,0,1,白天,121.22099,25.009533,桃園市,交叉路口
2022,01,01,2022-01-01,1,中壢區,否,90000,0,1,白天,121.191863,24.972569,桃園市,一般地址
2022,01,01,2022-01-01,2,中壢區,否,111812,0,1,白天,121.195907,24.955999,桃園市,交叉路口
2022,01,01,2022-01-01,1,中壢區,否,122338,0,1,白天,121.240613,24.965971,桃園市,一般地址
2022,01,01,2022-01-01,1,中壢區,否,141200,0,1,白天,121.168933,24.958271,桃園市,一般地址
2022,01,01,2022-01-01,1,中壢區,否,150950,0,1,白天,121.20413,24.965626,桃園市,交叉路口
2022,01,01,2022-01-01,2,中壢區,否,154900,0,1,白天,121.254373,24.971126,桃園市,交叉路口
2022,01,01,2022-01-01,3,中壢區,非駕駛人，未檢測,163300,0,1,白天,121.225852,24.954131,桃園市,一般地址
2022,01,01,2022-01-01,1,中壢區,否,173700,0,1,白天,121.255544,24.936375,桃園市,一般地址
2022,01,01,2022-01-01,1,中壢區,否,195200,0,1,夜晚,121.240737,24.951916,桃園市,一般地址
2022,01,01,2022-01-01,1,中壢區,否,210900,0,1,夜晚,121.22964,24.956024,桃園市,一般地址
